title,company,location,city,date,link
"Data Engineer I, ITC",Nike,India,India,2025-12-04,https://in.linkedin.com/jobs/view/data-engineer-i-itc-at-nike-4341255293?position=1&pageNum=0&refId=6P4%2BIW9I7s2tHzPrkRHjBw%3D%3D&trackingId=qqDIi8%2BZzGlIr7aePMrPfg%3D%3D
AI Software Engineer,DHL,India,India,2025-12-15,https://in.linkedin.com/jobs/view/ai-software-engineer-at-dhl-4327806638?position=1&pageNum=0&refId=IYrV6oUocZAZWmgnWfRk%2Bw%3D%3D&trackingId=mdmrHnZHuj75C4PTR7PdGQ%3D%3D
