title,company,location,city,date,link
"Data Engineer , WWGS GRIT",Amazon,India,India,2026-08-19,https://in.linkedin.com/jobs/view/data-engineer-wwgs-grit-at-amazon-4455911307?position=1&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=UAawfV%2F2nM2Dg6aDNZcP2A%3D%3D
"Data Engineer I, Data Engineer RBS",Amazon,India,India,2026-08-19,https://in.linkedin.com/jobs/view/data-engineer-i-data-engineer-rbs-at-amazon-4455791891?position=2&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=TyQorEb5HLTA%2Boo7XIrQHQ%3D%3D
Data Engineer,Rearc,India,India,2025-06-27,https://in.linkedin.com/jobs/view/data-engineer-at-rearc-4258298924?position=3&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=k%2Fye%2Bx7jkxugIUs140KXMw%3D%3D
Azure Data Engineer,Edwards Vacuum,India,India,2026-08-26,https://in.linkedin.com/jobs/view/azure-data-engineer-at-edwards-vacuum-4440204292?position=4&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=l4TSZQM0etWEOq6NEvh2kA%3D%3D
Senior Data Engineer,SourcingXPress,India,India,2026-08-27,https://in.linkedin.com/jobs/view/senior-data-engineer-at-sourcingxpress-4459687921?position=6&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=6KT0zslbDEBQ6wOPhoHixw%3D%3D
EY - GDS Consulting - AI And DATA - Data Engineer-Staff,EY,India,India,2026-08-17,https://in.linkedin.com/jobs/view/ey-gds-consulting-ai-and-data-data-engineer-staff-at-ey-4426222683?position=7&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=rG1lsEpFASscCOVz3PY2fw%3D%3D
Lead II - Data Engineering,UST,India,India,2026-08-11,https://in.linkedin.com/jobs/view/lead-ii-data-engineering-at-ust-4440164115?position=8&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=fxVQfykfZ4L0ZamTXWIgqg%3D%3D
Data Engineer,Bayzat,India,India,2026-01-09,https://in.linkedin.com/jobs/view/data-engineer-at-bayzat-4368691109?position=9&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=lwYs7vOo6lMrJ3C2WAXw%2Fw%3D%3D
"Oliver Wyman - Data Engineer / Senior Data Engineer - Data and Analytics (DNA) - Gurugram, India",Oliver Wyman,India,India,2026-08-28,https://in.linkedin.com/jobs/view/oliver-wyman-data-engineer-senior-data-engineer-data-and-analytics-dna-gurugram-india-at-oliver-wyman-4460350337?position=10&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=4yHFxFiFK09V3Lb5mn6kuQ%3D%3D
Data Engineer,WPP,India,India,2026-08-25,https://in.linkedin.com/jobs/view/data-engineer-at-wpp-4456938925?position=14&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=stqsP3DqoBYONLQBAzKyng%3D%3D
Data Engineer / Senior Data Engineer (B),v4c.ai,India,India,2026-07-23,https://in.linkedin.com/jobs/view/data-engineer-senior-data-engineer-b-at-v4c-ai-4444799286?position=15&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=xyj5H1jlvnV3Tt0rz46XZA%3D%3D
Senior Data Engineer,SourcingXPress,India,India,2026-01-17,https://in.linkedin.com/jobs/view/senior-data-engineer-at-sourcingxpress-4362311711?position=16&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=%2Bt5QnPjiEBFkl9JwfihDcw%3D%3D
Senior Data Engineer — Enterprise Data Platform,Basware,India,India,2026-08-26,https://in.linkedin.com/jobs/view/senior-data-engineer-%E2%80%94-enterprise-data-platform-at-basware-4423913467?position=17&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=Ni1xoftx%2B8vBlvJxSj5tyw%3D%3D
Data Engineer,Bayzat,India,India,2026-01-09,https://in.linkedin.com/jobs/view/data-engineer-at-bayzat-4368695073?position=18&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=W8csjF%2BuNOXknZxN3huInw%3D%3D
Lead Data Engineer,NationsBenefits,India,India,2026-07-09,https://in.linkedin.com/jobs/view/lead-data-engineer-at-nationsbenefits-4438680949?position=22&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=%2BIOk1Le6Ot%2BhDNWQ93ItIQ%3D%3D
Data Engineer - II,Rebel Foods,India,India,2026-08-21,https://in.linkedin.com/jobs/view/data-engineer-ii-at-rebel-foods-4457089438?position=23&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=wVKrc102VkaDP5dUEQknVg%3D%3D
EY - GDS Consulting - AI And DATA - Data Engineer-Staff,EY,India,India,2026-08-17,https://in.linkedin.com/jobs/view/ey-gds-consulting-ai-and-data-data-engineer-staff-at-ey-4426227128?position=24&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=bUeroVDOCXns1K7zmx2dLw%3D%3D
Eucloid - Lead Data Engineer - ETL/Apache Spark,Eucloid Data Solutions,India,India,2026-07-10,https://in.linkedin.com/jobs/view/eucloid-lead-data-engineer-etl-apache-spark-at-eucloid-data-solutions-4438869097?position=25&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=BUTrk1a04BNg5UZo4JGEag%3D%3D
Senior Data Engineer,Takeda,India,India,2026-08-11,https://in.linkedin.com/jobs/view/senior-data-engineer-at-takeda-4443092888?position=26&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=4VCOsaGQ6Tg4dyQFOn%2BoBg%3D%3D
Data Engineer-Senior II-12,FedEx,India,India,2026-08-16,https://in.linkedin.com/jobs/view/data-engineer-senior-ii-12-at-fedex-4408784128?position=30&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=X6JGrZqO0Z3SJklk4ZDD7g%3D%3D
Azure Data Engineer,Virtusa,India,India,2026-08-22,https://in.linkedin.com/jobs/view/azure-data-engineer-at-virtusa-4445504886?position=31&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=JH6%2BZamPuQ1NfQQerwz23g%3D%3D
Sr. Data Engineer,Numerator,India,India,2026-08-23,https://in.linkedin.com/jobs/view/sr-data-engineer-at-numerator-4447853814?position=32&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=AihmEQZmy18URIBsnLR1Cw%3D%3D
Data Engineer-Senior II-14,FedEx,India,India,2026-08-16,https://in.linkedin.com/jobs/view/data-engineer-senior-ii-14-at-fedex-4408778271?position=33&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=%2FeARGbdY38rY8t3KIQGU7w%3D%3D
Azure Data Engineering-Data Engineer III,Deloitte,India,India,2026-08-20,https://in.linkedin.com/jobs/view/azure-data-engineering-data-engineer-iii-at-deloitte-4443790191?position=34&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=oquKQq%2BtoFL89IiAbN4txA%3D%3D
Senior Data Engineer,Entiovi Technologies,India,India,2026-08-10,https://in.linkedin.com/jobs/view/senior-data-engineer-at-entiovi-technologies-4448799621?position=38&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=kE%2Fhc9O0LzVa8ge08TOMGg%3D%3D
Databricks Data Engineer,Tata Consultancy Services,India,India,2026-08-07,https://in.linkedin.com/jobs/view/databricks-data-engineer-at-tata-consultancy-services-4448737191?position=39&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=6IQv5hGQbcrvr8RkTAxr7g%3D%3D
Sr. Data Engineer – Clinical Data Foundation,Amgen,India,India,2026-04-07,https://in.linkedin.com/jobs/view/sr-data-engineer-%E2%80%93-clinical-data-foundation-at-amgen-4397051575?position=40&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=eqqZ1z1hGrAdnC5ThuaX1Q%3D%3D
Senior Azure Data Engineer - Databricks,Mindera,India,India,2026-08-02,https://in.linkedin.com/jobs/view/senior-azure-data-engineer-databricks-at-mindera-4459691076?position=41&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=xUtl9oLdNl4TxCTub4V09w%3D%3D
Data Ingestion Engineer (ADF+Dbt+Snowflake),EVERSANA,India,India,2026-08-14,https://in.linkedin.com/jobs/view/data-ingestion-engineer-adf%2Bdbt%2Bsnowflake-at-eversana-4453583398?position=42&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=mQpjLipTc3ZDrqkf0GjVng%3D%3D
AWS Data Engineer,Zorba AI,India,India,2026-08-13,https://in.linkedin.com/jobs/view/aws-data-engineer-at-zorba-ai-4452928054?position=46&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=1gi%2B1tNwPgzigu9dXSSihw%3D%3D
Senior Data Engineer,Serko,India,India,2026-08-11,https://in.linkedin.com/jobs/view/senior-data-engineer-at-serko-4452184782?position=47&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=4H8fk1SNt0oY9i0t0o8qNQ%3D%3D
"Senior Data Engineer, Digital Products",US Pharmacopeia,India,India,2026-08-28,https://in.linkedin.com/jobs/view/senior-data-engineer-digital-products-at-us-pharmacopeia-4460370284?position=48&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=ybR4M%2FuoPBNmpdL4TWrgEA%3D%3D
Data Engineer II,InXiteOut,India,India,2026-08-17,https://in.linkedin.com/jobs/view/data-engineer-ii-at-inxiteout-4454256421?position=49&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=dxVfnH2yraln4RxQY4GRoQ%3D%3D
Senior Data Engineer,Bajaj Finserv,India,India,2026-05-29,https://in.linkedin.com/jobs/view/senior-data-engineer-at-bajaj-finserv-4420655777?position=50&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=QzfsV7lf4M%2F35nG1%2FH0R5g%3D%3D
Data Engineer,ALESAYI HOLDING | العيسائي القابضة,India,India,2026-08-16,https://in.linkedin.com/jobs/view/data-engineer-at-alesayi-holding-%D8%A7%D9%84%D8%B9%D9%8A%D8%B3%D8%A7%D8%A6%D9%8A-%D8%A7%D9%84%D9%82%D8%A7%D8%A8%D8%B6%D8%A9-4403878934?position=54&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=RviBYj4l0%2FwVvNgQviXwoA%3D%3D
Senior Data Engineer,UsefulBI Corporation,India,India,2026-07-31,https://in.linkedin.com/jobs/view/senior-data-engineer-at-usefulbi-corporation-4446978846?position=55&pageNum=0&refId=owhTV1%2B9%2ByHiz10wvkjEEg%3D%3D&trackingId=DUgGeRTm2pcsgKxsVsT5Fw%3D%3D
