title,company,location,city,date,link
Data Engineer II,Zafin,India,India,2026-05-11,https://in.linkedin.com/jobs/view/data-engineer-ii-at-zafin-4412900268?position=1&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=m3zx1fuTw8afmqkxWERrfg%3D%3D
Data Engineer,Cloiter,India,India,2026-07-29,https://in.linkedin.com/jobs/view/data-engineer-at-cloiter-4446003882?position=5&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=UaTca0jDl365lq%2F0qNtNmQ%3D%3D
Data Engineer,TECHNIX INDIA,India,India,2026-04-16,https://in.linkedin.com/jobs/view/data-engineer-at-technix-india-4402913007?position=6&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=O2Zd%2BfCDILd4rd8ro3Lilw%3D%3D
Data Engineer,ShyftLabs,India,India,2026-08-11,https://in.linkedin.com/jobs/view/data-engineer-at-shyftlabs-4452182344?position=11&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=YkKKaFCevktkHplEJTTJ8A%3D%3D
Data Engineer - L2,Forbes Advisor,India,India,2026-08-10,https://in.linkedin.com/jobs/view/data-engineer-l2-at-forbes-advisor-4424744854?position=12&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=hv57Yh9oQ%2BCRhXOdNG%2FmdA%3D%3D
Data Engineer,Anand Systems Inc,India,India,2025-01-08,https://in.linkedin.com/jobs/view/data-engineer-at-anand-systems-inc-4117183637?position=17&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=7pHzTznAQ45i6U7OIy5dvA%3D%3D
Manager - Data Engineer,Neo Wealth and Asset Management,India,India,2026-08-11,https://in.linkedin.com/jobs/view/manager-data-engineer-at-neo-wealth-and-asset-management-4451615877?position=18&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=GytRuOemO%2B0dSDLASbIlVw%3D%3D
Data Engineer,Blobstation,India,India,2025-12-03,https://in.linkedin.com/jobs/view/data-engineer-at-blobstation-4341027429?position=19&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=IN%2B%2FWtDYM2K148rfoSLeBA%3D%3D
Data Engineer,Quest Global,India,India,2026-08-11,https://in.linkedin.com/jobs/view/data-engineer-at-quest-global-4451914319?position=24&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=NuGes4TM%2F544MXoXrY11Vw%3D%3D
Data Engineer,RedQubes Innovation Private Limited,India,India,2026-08-03,https://in.linkedin.com/jobs/view/data-engineer-at-redqubes-innovation-private-limited-4448133375?position=25&pageNum=0&refId=asNfeCo0a4JbVutHQm%2FanA%3D%3D&trackingId=bSRio8%2FgIn%2FBhPVLfmPTBA%3D%3D
