title,company,location,city,date,link
Data Scientist,Deloitte,India,India,2025-09-29,https://in.linkedin.com/jobs/view/data-scientist-at-deloitte-4293182219?position=1&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=ZZBNaTR6eQQsZXxn3EPcng%3D%3D
Data Scientist,AB InBev GCC India,India,India,2025-09-23,https://in.linkedin.com/jobs/view/data-scientist-at-ab-inbev-gcc-india-4304090614?position=2&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=27vxFOFb2x8LouWU8WM%2Fgw%3D%3D
Data Scientist,AB InBev GCC India,India,India,2025-09-23,https://in.linkedin.com/jobs/view/data-scientist-at-ab-inbev-gcc-india-4304095478?position=3&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=NArhLhQ5H3JCFpYgEwEwHQ%3D%3D
"Software Engineer, Machine Learning",LinkedIn,India,India,2025-09-23,https://in.linkedin.com/jobs/view/software-engineer-machine-learning-at-linkedin-4304003122?position=4&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=Dwme5I5BfHvVb7q0BBktNQ%3D%3D
Senior Data Scientist,LinkedIn,India,India,2025-09-26,https://in.linkedin.com/jobs/view/senior-data-scientist-at-linkedin-4305702861?position=7&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=eQUibLt4UROTrkVJow23yw%3D%3D
Data Scientist,Entytle,India,India,2025-09-30,https://in.linkedin.com/jobs/view/data-scientist-at-entytle-4306692497?position=8&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=aJDQHGm3Kft1JRQlk%2BzawA%3D%3D
AI/ML,Infosys,India,India,2025-10-01,https://in.linkedin.com/jobs/view/ai-ml-at-infosys-4307682911?position=9&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=tEr%2FYhCYQnoHfdHIowUReg%3D%3D
Data Scientist,Genpact,India,India,2025-09-29,https://in.linkedin.com/jobs/view/data-scientist-at-genpact-4305312349?position=10&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=I3FQd3qQg6vBhCdsLqUPvg%3D%3D
Staff Data Scientist,LinkedIn,India,India,2025-09-26,https://in.linkedin.com/jobs/view/staff-data-scientist-at-linkedin-4305709742?position=11&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=6FQVfXmZmzTOVDseHZTvxg%3D%3D
Data Scientist,AB InBev GCC India,India,India,2025-09-30,https://in.linkedin.com/jobs/view/data-scientist-at-ab-inbev-gcc-india-4307039490?position=15&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=PZGDiXcyprwexBq5EN4t4A%3D%3D
Data Scientist,CoreTek Labs,India,India,2025-09-30,https://in.linkedin.com/jobs/view/data-scientist-at-coretek-labs-4307029356?position=16&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=u%2Fs53qpMqbNkJEw%2B8uKihA%3D%3D
Data Scientist-Gen AI,Fractal,India,India,2025-09-29,https://in.linkedin.com/jobs/view/data-scientist-gen-ai-at-fractal-4307878249?position=17&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=yLAGlELtWiqRZG62sNuAHA%3D%3D
Data Scientist,EXL,India,India,2025-09-23,https://in.linkedin.com/jobs/view/data-scientist-at-exl-4302680646?position=18&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=WlTBXw675Bi6ALeBIGGkFQ%3D%3D
Data Scientist,Impetus,India,India,2025-09-24,https://in.linkedin.com/jobs/view/data-scientist-at-impetus-4305544931?position=19&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=YIYtvt3LGdNCEjPzNeJ1Nw%3D%3D
Python Developer,HashedIn by Deloitte,India,India,2025-09-30,https://in.linkedin.com/jobs/view/python-developer-at-hashedin-by-deloitte-4307039397?position=23&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=xvFK1l4ty3HPK7CN4uNnwA%3D%3D
Data Scientist,HCLTech,India,India,2025-09-22,https://in.linkedin.com/jobs/view/data-scientist-at-hcltech-4302373164?position=24&pageNum=0&refId=lGgJSCrOuLFGtBOgzp2yQw%3D%3D&trackingId=lo0LILg%2F3KO9d8hF3tV1BA%3D%3D
