title,company,location,city,date,link
Data Engineer - Databricks,InfoCepts,India,India,2026-05-12,https://in.linkedin.com/jobs/view/data-engineer-databricks-at-infocepts-4413279760?position=1&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=JUq27r5ST%2B%2FMWEPfJs5grw%3D%3D
Associate - Python Data Engineer - GDC,PwC India,India,India,2026-05-12,https://in.linkedin.com/jobs/view/associate-python-data-engineer-gdc-at-pwc-india-4291069034?position=2&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=Pt8euhS02TSFNqALBRdoyQ%3D%3D
Data Engineer,Ujjivan Small Finance Bank,India,India,2026-04-17,https://in.linkedin.com/jobs/view/data-engineer-at-ujjivan-small-finance-bank-4402350861?position=3&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=2J7yCcNNMWugDdSALWEloQ%3D%3D
Data Engineer,Capgemini,India,India,2026-04-24,https://in.linkedin.com/jobs/view/data-engineer-at-capgemini-4403725418?position=4&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=Hn1SV6ZESEnAWF5o1aQn6g%3D%3D
Data Engineer,Capgemini,India,India,2026-04-25,https://in.linkedin.com/jobs/view/data-engineer-at-capgemini-4404159209?position=7&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=06akFu4lfGLiAqYUMOuhyg%3D%3D
Data Engineer,Capgemini,India,India,2026-04-23,https://in.linkedin.com/jobs/view/data-engineer-at-capgemini-4402872381?position=8&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=OVuqTPvdZvo0DyvOXx5MXA%3D%3D
Associate Software Engineer (AI & Python),Lenovo,India,India,2026-05-12,https://in.linkedin.com/jobs/view/associate-software-engineer-ai-python-at-lenovo-4413817091?position=9&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=HtxNPPu%2FpN%2F723LQtVMciw%3D%3D
Data Engineer,Capgemini,India,India,2026-04-25,https://in.linkedin.com/jobs/view/data-engineer-at-capgemini-4404158291?position=10&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=4qcY13tSR6%2BAiH%2FHa6VTQw%3D%3D
"Python Data Engineer-Hyderabad,Bengaluru,Pune,Chennai",Deloitte,India,India,2026-05-04,https://in.linkedin.com/jobs/view/python-data-engineer-hyderabad-bengaluru-pune-chennai-at-deloitte-4408649407?position=11&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=wA73K583h1OoI9RiRyl%2BoA%3D%3D
"Data Engineer, Cross Play Intelligence",Google,India,India,2026-05-07,https://in.linkedin.com/jobs/view/data-engineer-cross-play-intelligence-at-google-4401443152?position=16&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=BUFd5lMnciRzAm6j%2B6Acpg%3D%3D
Software Engineer - Azure,LinkedIn,India,India,2026-05-13,https://in.linkedin.com/jobs/view/software-engineer-azure-at-linkedin-4413964305?position=17&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=qHWeof%2FNBoyJ8mJYIvTyVA%3D%3D
"Python Data Engineer-Hyderabad,Bengaluru,Pune,Chennai",Deloitte,India,India,2026-05-04,https://in.linkedin.com/jobs/view/python-data-engineer-hyderabad-bengaluru-pune-chennai-at-deloitte-4408655414?position=18&pageNum=0&refId=JJX0DyH%2FgHPFdJ%2FjQqERhw%3D%3D&trackingId=g77d%2FnlkiZLCyXBPZBLqJw%3D%3D
