title,company,location,city,date,link
Junior Data Scientist,AB InBev GCC India,India,India,2025-12-19,https://in.linkedin.com/jobs/view/junior-data-scientist-at-ab-inbev-gcc-india-4328133170?position=1&pageNum=0&refId=jpTktL9fP%2BnYnADhoQsRVw%3D%3D&trackingId=moPaKbCTetCpqnPdbgk0ww%3D%3D
Machine Learning Engineer - 1,Intuit,India,India,2025-12-19,https://in.linkedin.com/jobs/view/machine-learning-engineer-1-at-intuit-4328049375?position=2&pageNum=0&refId=jpTktL9fP%2BnYnADhoQsRVw%3D%3D&trackingId=9Qe3jO97uIW8FqtjCJt9aw%3D%3D
Data Scientist - Noon Food,noon,India,India,2026-01-05,https://in.linkedin.com/jobs/view/data-scientist-noon-food-at-noon-4354604031?position=3&pageNum=0&refId=jpTktL9fP%2BnYnADhoQsRVw%3D%3D&trackingId=WluvKYBDWTrBXb%2BqUP5K%2BA%3D%3D
