title,company,location,city,date,link
"Data Engineer I, ITC",Nike,India,India,2026-01-08,https://in.linkedin.com/jobs/view/data-engineer-i-itc-at-nike-4358597496?position=1&pageNum=0&refId=CAA2x%2BhJY9yuSVOpD7VTIQ%3D%3D&trackingId=bA81pkroq19WIawEYylbMw%3D%3D
Data Engineer,Meril,India,India,2026-01-19,https://in.linkedin.com/jobs/view/data-engineer-at-meril-4360811378?position=2&pageNum=0&refId=CAA2x%2BhJY9yuSVOpD7VTIQ%3D%3D&trackingId=9VPzYG0JSQH96dTtUMDoKg%3D%3D
Associate - Python Data Engineer - GDC,PwC India,India,India,2026-01-04,https://in.linkedin.com/jobs/view/associate-python-data-engineer-gdc-at-pwc-india-4291069034?position=3&pageNum=0&refId=CAA2x%2BhJY9yuSVOpD7VTIQ%3D%3D&trackingId=LytMb%2FIVfM0AYW2OSVCjRA%3D%3D
