title,company,location,city,date,link
"Data Engineer-I, SmartCommerce",Amazon,India,India,2026-09-10,https://in.linkedin.com/jobs/view/data-engineer-i-smartcommerce-at-amazon-4456356753?position=1&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=8%2FK9uQxkwEM4OMupBIA33g%3D%3D
Senior Data Engineer,Bajaj Finserv,India,India,2026-07-15,https://in.linkedin.com/jobs/view/senior-data-engineer-at-bajaj-finserv-4441231624?position=2&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=aVlLVsLxepWOjP6O%2Fla%2BTg%3D%3D
"Data Engineer I, CMT",Amazon,India,India,2026-09-09,https://in.linkedin.com/jobs/view/data-engineer-i-cmt-at-amazon-4455916247?position=3&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=izp1NW7fwJGV32Don2YVHg%3D%3D
Azure Data Engineer,Edwards Vacuum,India,India,2026-09-17,https://in.linkedin.com/jobs/view/azure-data-engineer-at-edwards-vacuum-4440204292?position=4&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=lK6ce9%2BiH%2Fj%2BF5M%2BeJxj2Q%3D%3D
Lead II - Data Engineering,UST,India,India,2026-09-02,https://in.linkedin.com/jobs/view/lead-ii-data-engineering-at-ust-4440164115?position=7&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=IvHSCTh5XURurRB%2F1TxEEg%3D%3D
Data Engineer,Bayzat,India,India,2026-01-09,https://in.linkedin.com/jobs/view/data-engineer-at-bayzat-4368691109?position=8&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=sWRoNFegiwypn2zs%2Fk1Cpg%3D%3D
"Oliver Wyman - Data Engineer / Senior Data Engineer - Data and Analytics (DNA) - Gurugram, India",Oliver Wyman,India,India,2026-08-28,https://in.linkedin.com/jobs/view/oliver-wyman-data-engineer-senior-data-engineer-data-and-analytics-dna-gurugram-india-at-oliver-wyman-4460350337?position=9&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=5o2OZeX6eB5xHzMRE9FoEA%3D%3D
Senior Databricks Data Engineer,Saarthee,India,India,2026-06-25,https://in.linkedin.com/jobs/view/senior-databricks-data-engineer-at-saarthee-4432674674?position=10&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=JXi%2B2DA7D83wVXerBOxzFA%3D%3D
Azure Data Engineer,Tata Consultancy Services,India,India,2026-09-08,https://in.linkedin.com/jobs/view/azure-data-engineer-at-tata-consultancy-services-4463540536?position=11&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=RBC0P3%2Bp4zrIODAlPNPmzA%3D%3D
Senior Data Engineer — Enterprise Data Platform,Basware,India,India,2026-09-16,https://in.linkedin.com/jobs/view/senior-data-engineer-%E2%80%94-enterprise-data-platform-at-basware-4423913467?position=16&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=IgpUzsKeTs6UPpUodlTfng%3D%3D
Data Engineer,Bayzat,India,India,2026-01-09,https://in.linkedin.com/jobs/view/data-engineer-at-bayzat-4368695073?position=17&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=UAKJN60TgZK1CsCcjBDZIQ%3D%3D
"Data Engineer II , JWO Data Services",Amazon Web Services (AWS),India,India,2026-09-09,https://in.linkedin.com/jobs/view/data-engineer-ii-jwo-data-services-at-amazon-web-services-aws-4455909149?position=18&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=zdhJ%2FlQc1%2FujSTm7W5tQBA%3D%3D
EY - GDS Consulting - AI And DATA - Data Engineer- DBT+BQ+Airflow - Senior,EY,India,India,2026-09-15,https://in.linkedin.com/jobs/view/ey-gds-consulting-ai-and-data-data-engineer-dbt%2Bbq%2Bairflow-senior-at-ey-4465546910?position=19&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=yR2pkp1kT0d1FBGTblyRSA%3D%3D
Data Engineer - Spark,Chargebee,India,India,2026-08-31,https://in.linkedin.com/jobs/view/data-engineer-spark-at-chargebee-4459785362?position=24&pageNum=0&refId=Rg9TfEzZe8JbonRJNQye6Q%3D%3D&trackingId=Sl3h0Wne1%2FcpRzT6w88YTg%3D%3D
