title,company,location,city,date,link
"Data Engineer , WWGS GRIT",Amazon,India,India,2026-08-19,https://in.linkedin.com/jobs/view/data-engineer-wwgs-grit-at-amazon-4455911307?position=1&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=zZavW8C5GafKMto7j7K4yg%3D%3D
"Data Engineer I, Data Engineer RBS",Amazon,India,India,2026-08-19,https://in.linkedin.com/jobs/view/data-engineer-i-data-engineer-rbs-at-amazon-4455791891?position=2&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=O40RbFD9eFEdnxO38TET3w%3D%3D
Data Engineer,Rearc,India,India,2025-06-27,https://in.linkedin.com/jobs/view/data-engineer-at-rearc-4258298924?position=3&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=yraF9izos7DXdgowWpstNA%3D%3D
Azure Data Engineer,Edwards Vacuum,India,India,2026-08-26,https://in.linkedin.com/jobs/view/azure-data-engineer-at-edwards-vacuum-4440204292?position=4&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=bDd9d%2Bd5SB%2FeJDhijWTySA%3D%3D
Senior Data Engineer (ETL-Informatica PowerCenter|IICS/Data Integration with GenAI tools & Cloud Platforms),Wells Fargo,India,India,2026-08-31,https://in.linkedin.com/jobs/view/senior-data-engineer-etl-informatica-powercenter-iics-data-integration-with-genai-tools-cloud-platforms-at-wells-fargo-4460027764?position=7&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=dQOqVfrdoBV7pesiSG54TA%3D%3D
Lead II - Data Engineering,UST,India,India,2026-09-02,https://in.linkedin.com/jobs/view/lead-ii-data-engineering-at-ust-4440164115?position=8&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=fbQFNgoNDDF7%2Bmkm3YkKnA%3D%3D
Data Engineer,Bayzat,India,India,2026-01-09,https://in.linkedin.com/jobs/view/data-engineer-at-bayzat-4368691109?position=9&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=vAKDyk3McsqnE4vKC%2FNYfw%3D%3D
"Oliver Wyman - Data Engineer / Senior Data Engineer - Data and Analytics (DNA) - Gurugram, India",Oliver Wyman,India,India,2026-08-28,https://in.linkedin.com/jobs/view/oliver-wyman-data-engineer-senior-data-engineer-data-and-analytics-dna-gurugram-india-at-oliver-wyman-4460350337?position=10&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=Cb6DvXxemk%2Fte2SeQGNm2g%3D%3D
Data Engineer-Data Platforms-Google,IBM,India,India,2026-08-25,https://in.linkedin.com/jobs/view/data-engineer-data-platforms-google-at-ibm-4446253621?position=11&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=R2NJfX2yRl9%2BymYATm2tpg%3D%3D
Data Engineer [T500-29046],Stolt-Nielsen,India,India,2026-09-01,https://in.linkedin.com/jobs/view/data-engineer-t500-29046-at-stolt-nielsen-4461575470?position=16&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=ZouSfNedbev3PJzrq4cI6g%3D%3D
Data Engineer / Senior Data Engineer (B),v4c.ai,India,India,2026-07-23,https://in.linkedin.com/jobs/view/data-engineer-senior-data-engineer-b-at-v4c-ai-4444799286?position=17&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=uLSGa1o%2FZCaV1SwkWcyADQ%3D%3D
Senior Data Engineer,SourcingXPress,India,India,2026-01-17,https://in.linkedin.com/jobs/view/senior-data-engineer-at-sourcingxpress-4362311711?position=18&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=5HeRZuUWg%2BE3YzJC6UWmMw%3D%3D
Senior Data Engineer — Enterprise Data Platform,Basware,India,India,2026-08-26,https://in.linkedin.com/jobs/view/senior-data-engineer-%E2%80%94-enterprise-data-platform-at-basware-4423913467?position=19&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=wmbpw5%2BqP3fWHOwwnYjPow%3D%3D
Lead Data Engineer,NationsBenefits,India,India,2026-07-09,https://in.linkedin.com/jobs/view/lead-data-engineer-at-nationsbenefits-4438680949?position=24&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=uzYbNrFdaAzr0j5gefz1Bg%3D%3D
Data Engineer - II,Rebel Foods,India,India,2026-08-21,https://in.linkedin.com/jobs/view/data-engineer-ii-at-rebel-foods-4457089438?position=25&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=hgYaGmYCE1LllT5pKkrayA%3D%3D
Data Engineer - Spark,Chargebee,India,India,2026-08-31,https://in.linkedin.com/jobs/view/data-engineer-spark-at-chargebee-4459785362?position=26&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=zLO4iqgqoMghk9gLTqHrpQ%3D%3D
Eucloid - Lead Data Engineer - ETL/Apache Spark,Eucloid Data Solutions,India,India,2026-07-10,https://in.linkedin.com/jobs/view/eucloid-lead-data-engineer-etl-apache-spark-at-eucloid-data-solutions-4438869097?position=27&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=DBuj5hj54vEMXcdmuMeyyQ%3D%3D
Azure Databricks Lead,Birlasoft,India,India,2026-08-25,https://in.linkedin.com/jobs/view/azure-databricks-lead-at-birlasoft-4448501160?position=32&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=KIyf8CzQEeYKWwquSQy%2Flg%3D%3D
Data Engineer-Senior II-12,FedEx,India,India,2026-08-16,https://in.linkedin.com/jobs/view/data-engineer-senior-ii-12-at-fedex-4408784128?position=33&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=FeShRpt7MQQO7Pq94fIOpg%3D%3D
Senior Data Engineer,Nextpower,India,India,2026-09-04,https://in.linkedin.com/jobs/view/senior-data-engineer-at-nextpower-4461953530?position=34&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=pCa7eZnRh7R%2FZLC9wmdNEg%3D%3D
Sr Data Engineer,McGraw Hill,India,India,2026-08-15,https://in.linkedin.com/jobs/view/sr-data-engineer-at-mcgraw-hill-4433711005?position=39&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=pLBJcXohOT4PwwBkLHB%2B%2Bw%3D%3D
Principal Azure Data Engineer (12 to 15 yrs) (Python / PySpark / SQL/ DataBricks) - Remote India,Nexaminds,India,India,2026-09-05,https://in.linkedin.com/jobs/view/principal-azure-data-engineer-12-to-15-yrs-python-pyspark-sql-databricks-remote-india-at-nexaminds-4463732128?position=40&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=uuyySZwIdgo3Mn6QXYCpLw%3D%3D
Data Engineer,Weekday AI (YC W21),India,India,2026-08-06,https://in.linkedin.com/jobs/view/data-engineer-at-weekday-ai-yc-w21-4450224617?position=41&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=keJgh2KuoxchPofyGNEn%2Fw%3D%3D
Senior Data Engineer,Entiovi Technologies,India,India,2026-08-10,https://in.linkedin.com/jobs/view/senior-data-engineer-at-entiovi-technologies-4448799621?position=46&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=p4eSQNCymPqAS6jY%2BOXVyA%3D%3D
Senior Data Engineer,Dropsuite,India,India,2026-08-24,https://in.linkedin.com/jobs/view/senior-data-engineer-at-dropsuite-4456225460?position=47&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=8ux9WhUecyb1sxWGmXTMag%3D%3D
Azure Data Engineer,Tata Consultancy Services,India,India,2026-09-02,https://in.linkedin.com/jobs/view/azure-data-engineer-at-tata-consultancy-services-4461314048?position=48&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=UhN0twD5M50o5lyK%2B3ExAw%3D%3D
"Senior Data Engineer, Digital Products",US Pharmacopeia,India,India,2026-08-28,https://in.linkedin.com/jobs/view/senior-data-engineer-digital-products-at-us-pharmacopeia-4460370284?position=53&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=dB4IBJQVoRmk3AqdUMzlqw%3D%3D
Data Engineer II,InXiteOut,India,India,2026-08-17,https://in.linkedin.com/jobs/view/data-engineer-ii-at-inxiteout-4454256421?position=54&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=P0WGewKVG%2Fxz%2BFuV1H63uA%3D%3D
Senior Data Engineer,Bajaj Finserv,India,India,2026-05-29,https://in.linkedin.com/jobs/view/senior-data-engineer-at-bajaj-finserv-4420655777?position=55&pageNum=0&refId=F%2B7wArovQvAb4ENkC79gMg%3D%3D&trackingId=p%2FUEAzr8C%2B330P6k1t0oPw%3D%3D
