title,company,location,city,date,link
Data Engineer,PwC India,India,India,2025-08-20,https://in.linkedin.com/jobs/view/data-engineer-at-pwc-india-4288145982?position=1&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=ixOw8l4pO5h9%2FBcPsqClqw%3D%3D
Data Engineer ( AM),KPMG India,India,India,2025-08-12,https://in.linkedin.com/jobs/view/data-engineer-am-at-kpmg-india-4283366096?position=2&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=NX%2FQKtscWQujQi3VFC3dvw%3D%3D
Python Data Engineer,Infosys,India,India,2025-08-22,https://in.linkedin.com/jobs/view/python-data-engineer-at-infosys-4273720276?position=3&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=OY%2BMfhY3Ml7wtfoHVAK9dw%3D%3D
Data Engineer,Easebuzz,India,India,2025-08-21,https://in.linkedin.com/jobs/view/data-engineer-at-easebuzz-4289200485?position=4&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=2F6RofhXh7CU39ASyBYYzA%3D%3D
Associate - Python Data Engineer - GDC,PwC India,India,India,2025-08-28,https://in.linkedin.com/jobs/view/associate-python-data-engineer-gdc-at-pwc-india-4291069034?position=7&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=JxauIgtyrrv7fEcmOyGW3A%3D%3D
Data Engineer,Xiaomi India,India,India,2025-08-29,https://in.linkedin.com/jobs/view/data-engineer-at-xiaomi-india-4292622586?position=8&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=DoI613IgltQHYW1xr9pUyg%3D%3D
Data Engineer,Procter & Gamble,India,India,2025-08-29,https://in.linkedin.com/jobs/view/data-engineer-at-procter-gamble-4281678161?position=9&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=n1441QPf1xAL3O1lJ0w%2Fww%3D%3D
Software Engineer,Microsoft,India,India,2025-09-04,https://in.linkedin.com/jobs/view/%E2%80%8B%E2%80%8Bsoftware-engineer%E2%80%8B-at-microsoft-4295686340?position=10&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=CrsLTtIEZMTDB%2FI4WBlNjg%3D%3D
"Associate, Data Engineer",Bain & Company,India,India,2024-12-09,https://in.linkedin.com/jobs/view/associate-data-engineer-at-bain-company-3950872092?position=11&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=1j8eol1vPZkSz4usufldyw%3D%3D
Software Engineer Apprenticeship,Microsoft,India,India,2025-08-27,https://in.linkedin.com/jobs/view/software-engineer-apprenticeship-at-microsoft-4291845563?position=15&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=OMgzBKuZuEFSR0OBq3KIgQ%3D%3D
Data Engineer [T500-19944],Delta Air Lines,India,India,2025-08-26,https://in.linkedin.com/jobs/view/data-engineer-t500-19944-at-delta-air-lines-4291605239?position=16&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=YokQ7r%2BLjCpbRoiJ7GX4Hw%3D%3D
"Software Engineer I - Backend, ITC",Nike,India,India,2025-09-02,https://in.linkedin.com/jobs/view/software-engineer-i-backend-itc-at-nike-4294671442?position=17&pageNum=0&refId=wtOEv0CmfPAF0QEpI7OU0A%3D%3D&trackingId=6V76r9m%2BLgCm%2BItaNJMolQ%3D%3D
