title,company,location,city,date,link
Data Engineer,PwC India,India,India,2025-08-20,https://in.linkedin.com/jobs/view/data-engineer-at-pwc-india-4288145982?position=1&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=wSgdsZZ8W78eRzMfyxWfWg%3D%3D
Data Engineer II [T500-19642],McDonald's,India,India,2025-08-08,https://in.linkedin.com/jobs/view/data-engineer-ii-t500-19642-at-mcdonald-s-4282147859?position=2&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=Aal%2F9hH32mNr3L5cw2QqhQ%3D%3D
Data Engineer II [T500-19595],McDonald's,India,India,2025-08-07,https://in.linkedin.com/jobs/view/data-engineer-ii-t500-19595-at-mcdonald-s-4281487240?position=3&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=FSVa8bjzMy0tlSLskjpufg%3D%3D
Data Engineer ( AM),KPMG India,India,India,2025-08-12,https://in.linkedin.com/jobs/view/data-engineer-am-at-kpmg-india-4283366096?position=4&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=HutRn8%2Fl1KOicbZr2ls%2BBg%3D%3D
Data Engineer,MakeMyTrip,India,India,2025-07-29,https://in.linkedin.com/jobs/view/data-engineer-at-makemytrip-4273701706?position=7&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=e08XtIokd%2BoAalj4a%2BdGhQ%3D%3D
Data Engineer III [T500-19596],McDonald's,India,India,2025-08-07,https://in.linkedin.com/jobs/view/data-engineer-iii-t500-19596-at-mcdonald-s-4281485539?position=8&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=WBMNvNtsgRqXux3EyDpQuQ%3D%3D
Data Engineer III [T500-19645],McDonald's,India,India,2025-08-08,https://in.linkedin.com/jobs/view/data-engineer-iii-t500-19645-at-mcdonald-s-4282149752?position=9&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=XKew5KopPtFX95TwcrYhbg%3D%3D
Data Engineer,PwC Acceleration Centers,India,India,2025-08-06,https://in.linkedin.com/jobs/view/data-engineer-at-pwc-acceleration-centers-4280800105?position=10&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=P6zG4zwwwVyTK2nIY7haqQ%3D%3D
Data Engineer,Xiaomi India,India,India,2025-08-29,https://in.linkedin.com/jobs/view/data-engineer-at-xiaomi-india-4292622586?position=14&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=lDxpJEeUuhq1fRX85AcZkA%3D%3D
Data Engineer,Procter & Gamble,India,India,2025-08-29,https://in.linkedin.com/jobs/view/data-engineer-at-procter-gamble-4281678161?position=15&pageNum=0&refId=777%2BnT%2F0ozSjv0uN%2BQxeDw%3D%3D&trackingId=%2FoLMYmKbI9oUEZpUq1drNg%3D%3D
